期号,数字,触发极冷位置,触发位置遗漏期数,其他位置1,位置1遗漏期数,其他位置2,位置2遗漏期数
15226,0,百位,3471,十位,25,个位,11
15227,0,百位,3472,十位,26,个位,0
15228,0,百位,3473,十位,27,个位,1
15229,0,百位,3474,十位,28,个位,2
15230,0,百位,3475,十位,29,个位,3
15231,0,百位,3476,十位,30,个位,4
15232,0,百位,3477,十位,0,个位,5
15233,0,百位,3478,十位,1,个位,6
15234,0,百位,3479,十位,2,个位,7
15235,0,百位,3480,十位,3,个位,8
15236,0,百位,3481,十位,4,个位,9
15237,0,百位,3482,十位,5,个位,0
15238,0,百位,3483,十位,0,个位,1
15239,0,百位,3484,十位,1,个位,2
15240,0,百位,3485,十位,2,个位,3
15241,0,百位,3486,十位,3,个位,4
15242,0,百位,3487,十位,4,个位,5
15244,0,百位,3488,十位,5,个位,6
15245,0,百位,3489,十位,6,个位,0
15246,0,百位,3490,十位,7,个位,1
15248,0,百位,3491,十位,8,个位,2
15249,0,百位,3492,十位,9,个位,3
15250,0,百位,3493,十位,10,个位,4
15251,0,百位,3494,十位,11,个位,5
15252,0,百位,3495,十位,12,个位,6
15253,0,百位,3496,十位,13,个位,7
15254,0,百位,3497,十位,14,个位,8
15255,0,百位,3498,十位,15,个位,9
15256,0,百位,3499,十位,16,个位,0
15258,0,百位,3500,十位,17,个位,1
15259,0,百位,3501,十位,18,个位,2
15260,0,百位,3502,十位,19,个位,3
15261,0,百位,3503,十位,20,个位,4
15262,0,百位,3504,十位,21,个位,5
15263,0,百位,3505,十位,22,个位,6
15264,0,百位,3506,十位,23,个位,7
15265,0,百位,3507,十位,24,个位,8
15267,0,百位,3508,十位,25,个位,9
15268,0,百位,3509,十位,26,个位,10
15269,0,百位,3510,十位,0,个位,11
15270,0,百位,3511,十位,1,个位,12
15271,0,百位,3512,十位,2,个位,13
15272,0,百位,3513,十位,3,个位,14
15273,0,百位,3514,十位,4,个位,15
15274,0,百位,3515,十位,5,个位,16
15275,0,百位,3516,十位,0,个位,17
15276,0,百位,3517,十位,1,个位,18
15277,0,百位,3518,十位,2,个位,19
15279,0,百位,3519,十位,3,个位,20
15280,0,百位,3520,十位,4,个位,21
15282,0,百位,3521,十位,5,个位,22
15283,0,百位,3522,十位,6,个位,23
15284,0,百位,3523,十位,7,个位,24
15285,0,百位,3524,十位,8,个位,25
15288,0,百位,3525,十位,9,个位,26
15289,0,百位,3526,十位,10,个位,27
15291,0,百位,3527,十位,11,个位,28
15292,0,百位,3528,十位,12,个位,0
15293,0,百位,3529,十位,13,个位,1
15295,0,百位,3530,十位,14,个位,2
15296,0,百位,3531,十位,0,个位,3
15297,0,百位,3532,十位,0,个位,4
15298,0,百位,3533,十位,1,个位,0
15299,0,百位,3534,十位,2,个位,1
15300,0,百位,3535,十位,3,个位,2
15301,0,百位,3536,十位,4,个位,3
15302,0,百位,3537,十位,5,个位,4
15303,0,百位,3538,十位,6,个位,5
15304,0,百位,3539,十位,7,个位,6
15305,0,百位,3540,十位,8,个位,7
15306,0,百位,3541,十位,9,个位,8
15308,0,百位,3542,十位,10,个位,9
15310,0,百位,3543,十位,11,个位,10
15311,0,百位,3544,十位,12,个位,11
15312,0,百位,3545,十位,13,个位,12
15313,0,百位,3546,十位,14,个位,13
15315,0,百位,3547,十位,15,个位,14
15317,0,百位,3548,十位,16,个位,0
15318,0,百位,3549,十位,17,个位,1
15318,6,十位,56,百位,11,个位,20
15319,0,百位,3550,十位,18,个位,2
15319,6,十位,57,百位,12,个位,21
15320,0,百位,3551,十位,19,个位,3
15320,6,十位,58,百位,0,个位,22
15321,0,百位,3552,十位,20,个位,4
15321,6,十位,59,百位,1,个位,23
15322,0,百位,3553,十位,21,个位,5
15322,6,十位,60,百位,2,个位,0
15323,0,百位,3554,十位,22,个位,6
15323,6,十位,61,百位,0,个位,1
15324,0,百位,3555,十位,23,个位,7
15325,0,百位,3556,十位,24,个位,8
15326,0,百位,3557,十位,25,个位,9
15327,0,百位,3558,十位,26,个位,10
15328,0,百位,3559,十位,27,个位,11
15329,0,百位,3560,十位,28,个位,12
15331,0,百位,3561,十位,29,个位,13
15332,0,百位,3562,十位,30,个位,0
15333,0,百位,3563,十位,31,个位,0
15335,0,百位,3564,十位,32,个位,1
15336,0,百位,3565,十位,33,个位,2
15337,0,百位,3566,十位,34,个位,3
15338,0,百位,3567,十位,35,个位,4
15339,0,百位,3568,十位,0,个位,5
15340,0,百位,3569,十位,1,个位,6
15341,0,百位,3570,十位,2,个位,7
15342,0,百位,3571,十位,3,个位,8
15343,0,百位,3572,十位,4,个位,9
15344,0,百位,3573,十位,5,个位,0
15345,0,百位,3574,十位,6,个位,1
15346,0,百位,3575,十位,7,个位,2
15347,0,百位,3576,十位,0,个位,3
15348,0,百位,3577,十位,1,个位,4
15349,0,百位,3578,十位,2,个位,5
15350,0,百位,3579,十位,3,个位,0
15351,0,百位,3580,十位,4,个位,1
15352,0,百位,3581,十位,5,个位,2
15353,0,百位,3582,十位,6,个位,3
15354,0,百位,3583,十位,7,个位,4
15355,0,百位,3584,十位,8,个位,5
15356,0,百位,3585,十位,9,个位,6
15357,0,百位,3586,十位,10,个位,7
16001,0,百位,3587,十位,11,个位,8
16002,0,百位,3588,十位,12,个位,9
16003,0,百位,3589,十位,13,个位,10
16004,0,百位,3590,十位,14,个位,11
16005,0,百位,3591,十位,15,个位,12
16006,0,百位,3592,十位,16,个位,13
16007,0,百位,3593,十位,0,个位,14
16008,0,百位,3594,十位,1,个位,15
16009,0,百位,3595,十位,2,个位,16
16010,0,百位,3596,十位,3,个位,17
16011,0,百位,3597,十位,4,个位,18
16012,0,百位,3598,十位,5,个位,19
16014,0,百位,3599,十位,6,个位,0
16015,0,百位,3600,十位,7,个位,1
16016,0,百位,3601,十位,8,个位,2
16017,0,百位,3602,十位,9,个位,3
16018,0,百位,3603,十位,10,个位,4
16019,0,百位,3604,十位,11,个位,5
16020,0,百位,3605,十位,12,个位,6
16021,0,百位,3606,十位,13,个位,7
16022,0,百位,3607,十位,0,个位,8
16025,0,百位,3608,十位,1,个位,9
16026,0,百位,3609,十位,0,个位,0
16027,0,百位,3610,十位,0,个位,1
16028,0,百位,3611,十位,1,个位,2
16029,0,百位,3612,十位,2,个位,3
16030,0,百位,3613,十位,3,个位,4
16031,0,百位,3614,十位,4,个位,5
16032,0,百位,3615,十位,5,个位,6
16034,0,百位,3616,十位,6,个位,7
16036,0,百位,3617,十位,0,个位,8
16037,0,百位,3618,十位,1,个位,9
16038,0,百位,3619,十位,2,个位,10
16039,0,百位,3620,十位,3,个位,11
16041,0,百位,3621,十位,0,个位,12
16042,0,百位,3622,十位,1,个位,0
16043,0,百位,3623,十位,2,个位,1
16045,0,百位,3624,十位,3,个位,2
16046,0,百位,3625,十位,4,个位,3
16047,0,百位,3626,十位,5,个位,4
16048,0,百位,3627,十位,6,个位,5
16049,0,百位,3628,十位,7,个位,6
16050,0,百位,3629,十位,8,个位,7
16051,0,百位,3630,十位,9,个位,0
16052,0,百位,3631,十位,0,个位,1
16053,0,百位,3632,十位,1,个位,2
16054,0,百位,3633,十位,2,个位,3
16055,0,百位,3634,十位,3,个位,4
16056,0,百位,3635,十位,4,个位,5
16057,0,百位,3636,十位,5,个位,6
16058,0,百位,3637,十位,6,个位,7
16060,0,百位,3638,十位,7,个位,8
16061,0,百位,3639,十位,8,个位,9
16062,0,百位,3640,十位,9,个位,10
16063,0,百位,3641,十位,10,个位,11
16064,0,百位,3642,十位,11,个位,12
16066,0,百位,3643,十位,12,个位,13
16067,0,百位,3644,十位,13,个位,14
16069,0,百位,3645,十位,14,个位,15
16070,0,百位,3646,十位,15,个位,16
16071,0,百位,3647,十位,16,个位,17
16072,0,百位,3648,十位,17,个位,0
16073,0,百位,3649,十位,18,个位,1
16074,0,百位,3650,十位,19,个位,2
16075,0,百位,3651,十位,20,个位,3
16076,0,百位,3652,十位,21,个位,4
16077,0,百位,3653,十位,0,个位,5
16078,0,百位,3654,十位,1,个位,6
16079,0,百位,3655,十位,2,个位,7
16080,0,百位,3656,十位,3,个位,0
16081,0,百位,3657,十位,4,个位,0
16082,0,百位,3658,十位,5,个位,0
16083,0,百位,3659,十位,6,个位,1
16085,0,百位,3660,十位,7,个位,2
16087,0,百位,3661,十位,8,个位,3
16088,0,百位,3662,十位,9,个位,4
16089,0,百位,3663,十位,10,个位,5
16090,0,百位,3664,十位,11,个位,6
16091,0,百位,3665,十位,12,个位,7
16092,0,百位,3666,十位,13,个位,8
16093,0,百位,3667,十位,14,个位,9
16094,0,百位,3668,十位,15,个位,10
16095,0,百位,3669,十位,16,个位,0
16096,0,百位,3670,十位,17,个位,1
16097,0,百位,3671,十位,18,个位,0
16098,0,百位,3672,十位,19,个位,1
16099,0,百位,3673,十位,20,个位,2
16101,0,百位,3674,十位,21,个位,3
16102,0,百位,3675,十位,0,个位,4
16103,0,百位,3676,十位,1,个位,5
16104,0,百位,3677,十位,2,个位,6
16105,0,百位,3678,十位,3,个位,7
16107,0,百位,3679,十位,4,个位,8
16108,0,百位,3680,十位,5,个位,0
16110,0,百位,3681,十位,6,个位,1
16111,0,百位,3682,十位,7,个位,2
16112,0,百位,3683,十位,8,个位,3
16113,0,百位,3684,十位,9,个位,4
16114,0,百位,3685,十位,10,个位,5
16116,0,百位,3686,十位,11,个位,6
16117,0,百位,3687,十位,12,个位,7
16118,0,百位,3688,十位,13,个位,8
16119,0,百位,3689,十位,14,个位,9
16120,0,百位,3690,十位,15,个位,10
16121,0,百位,3691,十位,16,个位,11
16121,2,十位,56,百位,5,个位,9
16122,0,百位,3692,十位,17,个位,12
16122,2,十位,57,百位,6,个位,10
16123,0,百位,3693,十位,18,个位,13
16123,2,十位,58,百位,7,个位,11
16124,0,百位,3694,十位,19,个位,14
16124,2,十位,59,百位,8,个位,12
16125,0,百位,3695,十位,20,个位,15
16125,2,十位,60,百位,9,个位,13
16127,0,百位,3696,十位,0,个位,16
16127,2,十位,61,百位,0,个位,14
16128,0,百位,3697,十位,1,个位,17
16128,2,十位,62,百位,1,个位,15
16129,0,百位,3698,十位,2,个位,18
16129,2,十位,63,百位,2,个位,16
16130,0,百位,3699,十位,0,个位,19
16130,2,十位,64,百位,3,个位,17
16131,0,百位,3700,十位,1,个位,20
16131,2,十位,65,百位,0,个位,18
16132,0,百位,3701,十位,2,个位,21
16132,2,十位,66,百位,1,个位,19
16133,0,百位,3702,十位,3,个位,22
16133,2,十位,67,百位,2,个位,20
16134,0,百位,3703,十位,4,个位,23
16134,2,十位,68,百位,3,个位,21
16135,0,百位,3704,十位,5,个位,24
16136,0,百位,3705,十位,6,个位,25
16137,0,百位,3706,十位,7,个位,26
16138,0,百位,3707,十位,8,个位,27
16139,0,百位,3708,十位,9,个位,28
16140,0,百位,3709,十位,10,个位,29
16141,0,百位,3710,十位,11,个位,30
16142,0,百位,3711,十位,12,个位,0
16143,0,百位,3712,十位,13,个位,1
16144,0,百位,3713,十位,14,个位,2
16146,0,百位,3714,十位,15,个位,3
16147,0,百位,3715,十位,16,个位,4
16148,0,百位,3716,十位,17,个位,5
16149,0,百位,3717,十位,18,个位,6
16150,0,百位,3718,十位,19,个位,7
16151,0,百位,3719,十位,20,个位,8
16152,0,百位,3720,十位,21,个位,9
16153,0,百位,3721,十位,22,个位,10
16154,0,百位,3722,十位,23,个位,11
16155,0,百位,3723,十位,24,个位,12
16156,0,百位,3724,十位,25,个位,13
16157,0,百位,3725,十位,26,个位,14
16158,0,百位,3726,十位,0,个位,15
16159,0,百位,3727,十位,1,个位,16
16160,0,百位,3728,十位,2,个位,17
16161,0,百位,3729,十位,3,个位,18
16162,0,百位,3730,十位,4,个位,19
16163,0,百位,3731,十位,0,个位,20
16164,0,百位,3732,十位,1,个位,0
16165,0,百位,3733,十位,2,个位,1
16166,0,百位,3734,十位,3,个位,2
16167,0,百位,3735,十位,4,个位,3
16168,0,百位,3736,十位,5,个位,4
16169,0,百位,3737,十位,0,个位,0
16170,0,百位,3738,十位,1,个位,1
16172,0,百位,3739,十位,0,个位,2
16173,0,百位,3740,十位,1,个位,0
16174,0,百位,3741,十位,2,个位,1
16175,0,百位,3742,十位,3,个位,2
16176,0,百位,3743,十位,4,个位,0
16177,0,百位,3744,十位,5,个位,1
16178,0,百位,3745,十位,6,个位,2
16179,0,百位,3746,十位,0,个位,0
16180,0,百位,3747,十位,1,个位,1
16181,0,百位,3748,十位,2,个位,2
16182,0,百位,3749,十位,3,个位,3
16183,0,百位,3750,十位,0,个位,0
16184,0,百位,3751,十位,1,个位,1
16185,0,百位,3752,十位,2,个位,2
16186,0,百位,3753,十位,3,个位,3
16187,0,百位,3754,十位,4,个位,4
16188,0,百位,3755,十位,0,个位,5
16189,0,百位,3756,十位,1,个位,6
16191,0,百位,3757,十位,2,个位,7
16192,0,百位,3758,十位,0,个位,8
16193,0,百位,3759,十位,1,个位,9
16194,0,百位,3760,十位,2,个位,10
16196,0,百位,3761,十位,3,个位,11
16197,0,百位,3762,十位,4,个位,12
16198,0,百位,3763,十位,0,个位,0
16199,0,百位,3764,十位,1,个位,1
16200,0,百位,3765,十位,2,个位,0
16201,0,百位,3766,十位,3,个位,1
16202,0,百位,3767,十位,4,个位,2
16204,0,百位,3768,十位,5,个位,3
16205,0,百位,3769,十位,6,个位,4
16206,0,百位,3770,十位,7,个位,5
16207,0,百位,3771,十位,8,个位,6
16208,0,百位,3772,十位,9,个位,7
16209,0,百位,3773,十位,10,个位,8
16210,0,百位,3774,十位,11,个位,9
16211,0,百位,3775,十位,0,个位,10
16212,0,百位,3776,十位,1,个位,11
16213,0,百位,3777,十位,2,个位,12
16214,0,百位,3778,十位,3,个位,13
16215,0,百位,3779,十位,0,个位,14
16216,0,百位,3780,十位,1,个位,15
16217,0,百位,3781,十位,2,个位,16
16218,0,百位,3782,十位,3,个位,17
16221,0,百位,3783,十位,0,个位,0
16222,0,百位,3784,十位,1,个位,1
16224,0,百位,3785,十位,2,个位,2
16225,0,百位,3786,十位,3,个位,3
16227,0,百位,3787,十位,4,个位,4
16228,0,百位,3788,十位,5,个位,5
16230,0,百位,3789,十位,6,个位,6
16231,0,百位,3790,十位,7,个位,7
16232,0,百位,3791,十位,8,个位,8
16233,0,百位,3792,十位,9,个位,9
16234,0,百位,3793,十位,10,个位,10
16235,0,百位,3794,十位,11,个位,11
16236,0,百位,3795,十位,12,个位,0
16237,0,百位,3796,十位,13,个位,1
16238,0,百位,3797,十位,14,个位,2
16239,0,百位,3798,十位,15,个位,3
16240,0,百位,3799,十位,16,个位,4
16241,0,百位,3800,十位,17,个位,5
16242,0,百位,3801,十位,18,个位,0
16243,0,百位,3802,十位,19,个位,1
16244,0,百位,3803,十位,20,个位,2
16245,0,百位,3804,十位,21,个位,3
16246,0,百位,3805,十位,22,个位,4
16247,0,百位,3806,十位,23,个位,5
16248,0,百位,3807,十位,24,个位,6
16249,0,百位,3808,十位,25,个位,7
16250,0,百位,3809,十位,26,个位,8
16251,0,百位,3810,十位,27,个位,9
16252,0,百位,3811,十位,0,个位,10
16253,0,百位,3812,十位,1,个位,11
16254,0,百位,3813,十位,2,个位,12
16255,0,百位,3814,十位,3,个位,13
16256,0,百位,3815,十位,4,个位,14
16257,0,百位,3816,十位,5,个位,15
16258,0,百位,3817,十位,6,个位,16
16259,0,百位,3818,十位,7,个位,17
16261,0,百位,3819,十位,8,个位,18
16262,0,百位,3820,十位,9,个位,19
16263,0,百位,3821,十位,10,个位,20
16264,0,百位,3822,十位,11,个位,0
16265,0,百位,3823,十位,12,个位,1
16266,0,百位,3824,十位,13,个位,2
16267,0,百位,3825,十位,14,个位,0
16269,0,百位,3826,十位,15,个位,1
16271,0,百位,3827,十位,16,个位,2
16272,0,百位,3828,十位,17,个位,3
16273,0,百位,3829,十位,18,个位,4
16274,0,百位,3830,十位,19,个位,5
16275,0,百位,3831,十位,0,个位,6
16276,0,百位,3832,十位,1,个位,0
16277,0,百位,3833,十位,2,个位,1
16278,0,百位,3834,十位,3,个位,2
16279,0,百位,3835,十位,4,个位,3
16280,0,百位,3836,十位,0,个位,4
16281,0,百位,3837,十位,0,个位,5
16282,0,百位,3838,十位,1,个位,6
16284,0,百位,3839,十位,2,个位,7
16285,0,百位,3840,十位,3,个位,8
16286,0,百位,3841,十位,4,个位,9
16287,0,百位,3842,十位,5,个位,10
16288,0,百位,3843,十位,6,个位,0
16289,0,百位,3844,十位,7,个位,0
16290,0,百位,3845,十位,8,个位,1
16291,0,百位,3846,十位,9,个位,2
16292,0,百位,3847,十位,10,个位,3
16293,0,百位,3848,十位,11,个位,0
16294,0,百位,3849,十位,0,个位,1
16295,0,百位,3850,十位,1,个位,2
16296,0,百位,3851,十位,2,个位,3
16297,0,百位,3852,十位,3,个位,4
16298,0,百位,3853,十位,4,个位,5
16299,0,百位,3854,十位,5,个位,6
16300,0,百位,3855,十位,6,个位,7
16301,0,百位,3856,十位,7,个位,8
16302,0,百位,3857,十位,8,个位,9
16303,0,百位,3858,十位,9,个位,10
16304,0,百位,3859,十位,10,个位,11
16305,0,百位,3860,十位,11,个位,0
16306,0,百位,3861,十位,12,个位,1
16307,0,百位,3862,十位,13,个位,0
16308,0,百位,3863,十位,14,个位,1
16309,0,百位,3864,十位,15,个位,2
16310,0,百位,3865,十位,16,个位,3
16311,0,百位,3866,十位,17,个位,4
16312,0,百位,3867,十位,18,个位,5
16313,0,百位,3868,十位,19,个位,6
16314,0,百位,3869,十位,20,个位,7
16315,0,百位,3870,十位,21,个位,8
16316,0,百位,3871,十位,22,个位,9
16317,0,百位,3872,十位,23,个位,10
16318,0,百位,3873,十位,24,个位,11
16319,0,百位,3874,十位,25,个位,12
16320,0,百位,3875,十位,26,个位,13
16321,0,百位,3876,十位,27,个位,14
16322,0,百位,3877,十位,0,个位,15
16323,0,百位,3878,十位,1,个位,16
16324,0,百位,3879,十位,2,个位,0
16325,0,百位,3880,十位,3,个位,1
16326,0,百位,3881,十位,4,个位,2
16327,0,百位,3882,十位,5,个位,3
16328,0,百位,3883,十位,6,个位,4
16329,0,百位,3884,十位,7,个位,5
16330,0,百位,3885,十位,8,个位,6
16331,0,百位,3886,十位,9,个位,7
16332,0,百位,3887,十位,10,个位,8
16333,0,百位,3888,十位,11,个位,9
16334,0,百位,3889,十位,12,个位,10
16335,0,百位,3890,十位,13,个位,11
16336,0,百位,3891,十位,14,个位,12
16337,0,百位,3892,十位,15,个位,0
16338,0,百位,3893,十位,16,个位,1
16339,0,百位,3894,十位,0,个位,2
16340,0,百位,3895,十位,1,个位,3
16342,0,百位,3896,十位,2,个位,4
16343,0,百位,3897,十位,3,个位,5
16344,0,百位,3898,十位,0,个位,6
16345,0,百位,3899,十位,0,个位,7
16346,0,百位,3900,十位,1,个位,8
16347,0,百位,3901,十位,0,个位,0
16348,0,百位,3902,十位,1,个位,1
16349,0,百位,3903,十位,2,个位,2
16350,0,百位,3904,十位,3,个位,3
16351,0,百位,3905,十位,4,个位,4
16352,0,百位,3906,十位,5,个位,5
16353,0,百位,3907,十位,6,个位,6
16354,0,百位,3908,十位,7,个位,7
16355,0,百位,3909,十位,8,个位,8
16356,0,百位,3910,十位,9,个位,9
16357,0,百位,3911,十位,10,个位,0
16358,0,百位,3912,十位,11,个位,1
16359,0,百位,3913,十位,12,个位,2
17002,0,百位,3914,十位,13,个位,3
17003,0,百位,3915,十位,14,个位,4
17004,0,百位,3916,十位,15,个位,5
17005,0,百位,3917,十位,16,个位,6
17006,0,百位,3918,十位,17,个位,7
17007,0,百位,3919,十位,18,个位,8
17008,0,百位,3920,十位,19,个位,9
17009,0,百位,3921,十位,20,个位,10
17010,0,百位,3922,十位,21,个位,11
17011,0,百位,3923,十位,22,个位,12
17014,0,百位,3924,十位,23,个位,13
17015,0,百位,3925,十位,24,个位,14
17016,0,百位,3926,十位,25,个位,15
17017,0,百位,3927,十位,26,个位,16
17018,0,百位,3928,十位,27,个位,17
17019,0,百位,3929,十位,28,个位,18
17020,0,百位,3930,十位,29,个位,19
17021,0,百位,3931,十位,30,个位,20
17022,0,百位,3932,十位,31,个位,21
17023,0,百位,3933,十位,32,个位,22
17025,0,百位,3934,十位,33,个位,23
17027,0,百位,3935,十位,34,个位,24
17028,0,百位,3936,十位,35,个位,25
17029,0,百位,3937,十位,36,个位,26
17030,0,百位,3938,十位,0,个位,27
17031,0,百位,3939,十位,1,个位,28
17032,0,百位,3940,十位,0,个位,29
17033,0,百位,3941,十位,1,个位,30
17034,0,百位,3942,十位,2,个位,31
17035,0,百位,3943,十位,3,个位,32
17036,0,百位,3944,十位,4,个位,0
17037,0,百位,3945,十位,5,个位,1
17038,0,百位,3946,十位,6,个位,0
17039,0,百位,3947,十位,7,个位,1
17040,0,百位,3948,十位,8,个位,2
17041,0,百位,3949,十位,9,个位,3
17042,0,百位,3950,十位,10,个位,4
17043,0,百位,3951,十位,11,个位,5
17044,0,百位,3952,十位,0,个位,6
17045,0,百位,3953,十位,1,个位,7
17046,0,百位,3954,十位,2,个位,8
17047,0,百位,3955,十位,3,个位,9
17048,0,百位,3956,十位,4,个位,10
17049,0,百位,3957,十位,5,个位,11
17050,0,百位,3958,十位,6,个位,12
17051,0,百位,3959,十位,0,个位,13
17052,0,百位,3960,十位,1,个位,14
17053,0,百位,3961,十位,2,个位,15
17054,0,百位,3962,十位,3,个位,16
17055,0,百位,3963,十位,0,个位,17
17056,0,百位,3964,十位,1,个位,18
17057,0,百位,3965,十位,2,个位,19
17058,0,百位,3966,十位,3,个位,20
17059,0,百位,3967,十位,4,个位,0
17060,0,百位,3968,十位,5,个位,1
17061,0,百位,3969,十位,6,个位,2
17062,0,百位,3970,十位,7,个位,3
17063,0,百位,3971,十位,8,个位,4
17064,0,百位,3972,十位,9,个位,5
17065,0,百位,3973,十位,10,个位,6
17066,0,百位,3974,十位,11,个位,7
17067,0,百位,3975,十位,12,个位,8
17068,0,百位,3976,十位,13,个位,9
17069,0,百位,3977,十位,14,个位,10
17070,0,百位,3978,十位,15,个位,11
17071,0,百位,3979,十位,16,个位,12
17072,0,百位,3980,十位,17,个位,13
17074,0,百位,3981,十位,18,个位,14
17075,0,百位,3982,十位,19,个位,15
17076,0,百位,3983,十位,0,个位,0
17077,0,百位,3984,十位,1,个位,1
17078,0,百位,3985,十位,2,个位,2
17079,0,百位,3986,十位,3,个位,3
17080,0,百位,3987,十位,4,个位,4
17081,0,百位,3988,十位,5,个位,5
17082,0,百位,3989,十位,6,个位,0
17083,0,百位,3990,十位,7,个位,1
17084,0,百位,3991,十位,8,个位,2
17085,0,百位,3992,十位,9,个位,3
17086,0,百位,3993,十位,10,个位,4
17087,0,百位,3994,十位,11,个位,5
17088,0,百位,3995,十位,12,个位,6
17089,0,百位,3996,十位,13,个位,7
17090,0,百位,3997,十位,14,个位,8
17091,0,百位,3998,十位,15,个位,9
17092,0,百位,3999,十位,16,个位,10
17093,0,百位,4000,十位,17,个位,11
17095,0,百位,4001,十位,18,个位,0
17096,0,百位,4002,十位,19,个位,1
17097,0,百位,4003,十位,0,个位,2
17098,0,百位,4004,十位,0,个位,3
17099,0,百位,4005,十位,1,个位,4
17100,0,百位,4006,十位,2,个位,5
17101,0,百位,4007,十位,3,个位,6
17104,0,百位,4008,十位,4,个位,0
17105,0,百位,4009,十位,5,个位,1
17106,0,百位,4010,十位,6,个位,2
17107,0,百位,4011,十位,0,个位,3
17108,0,百位,4012,十位,1,个位,4
17110,0,百位,4013,十位,2,个位,5
17111,0,百位,4014,十位,3,个位,6
17112,0,百位,4015,十位,4,个位,7
17113,0,百位,4016,十位,5,个位,8
17114,0,百位,4017,十位,6,个位,9
17115,0,百位,4018,十位,7,个位,10
17116,0,百位,4019,十位,8,个位,11
17117,0,百位,4020,十位,9,个位,12
17118,0,百位,4021,十位,10,个位,13
17119,0,百位,4022,十位,11,个位,14
17120,0,百位,4023,十位,12,个位,15
17122,0,百位,4024,十位,13,个位,16
17123,0,百位,4025,十位,14,个位,17
17125,0,百位,4026,十位,15,个位,18
17126,0,百位,4027,十位,16,个位,19
17127,0,百位,4028,十位,17,个位,20
17128,0,百位,4029,十位,18,个位,21
17129,0,百位,4030,十位,19,个位,22
17130,0,百位,4031,十位,20,个位,23
17131,0,百位,4032,十位,21,个位,24
17132,0,百位,4033,十位,22,个位,25
17133,0,百位,4034,十位,0,个位,26
17134,0,百位,4035,十位,1,个位,27
17135,0,百位,4036,十位,2,个位,28
17136,0,百位,4037,十位,3,个位,29
17137,0,百位,4038,十位,4,个位,0
17139,0,百位,4039,十位,5,个位,1
17140,0,百位,4040,十位,6,个位,0
17141,0,百位,4041,十位,0,个位,1
17143,0,百位,4042,十位,0,个位,2
17144,0,百位,4043,十位,1,个位,3
17145,0,百位,4044,十位,2,个位,4
17146,0,百位,4045,十位,3,个位,5
17147,0,百位,4046,十位,4,个位,6
17148,0,百位,4047,十位,5,个位,7
17149,0,百位,4048,十位,6,个位,8
17150,0,百位,4049,十位,7,个位,9
17152,0,百位,4050,十位,8,个位,10
17153,0,百位,4051,十位,0,个位,11
17154,0,百位,4052,十位,1,个位,12
17157,0,百位,4053,十位,2,个位,13
17159,0,百位,4054,十位,3,个位,14
17160,0,百位,4055,十位,4,个位,15
17161,0,百位,4056,十位,5,个位,16
17162,0,百位,4057,十位,6,个位,0
17163,0,百位,4058,十位,7,个位,1
17164,0,百位,4059,十位,8,个位,2
17165,0,百位,4060,十位,9,个位,3
17166,0,百位,4061,十位,10,个位,0
17167,0,百位,4062,十位,11,个位,1
17168,0,百位,4063,十位,12,个位,2
17169,0,百位,4064,十位,13,个位,3
17170,0,百位,4065,十位,14,个位,4
17171,0,百位,4066,十位,15,个位,5
17172,0,百位,4067,十位,16,个位,0
17173,0,百位,4068,十位,17,个位,1
17174,0,百位,4069,十位,18,个位,2
17175,0,百位,4070,十位,19,个位,0
17176,0,百位,4071,十位,20,个位,1
17177,0,百位,4072,十位,0,个位,2
17178,0,百位,4073,十位,1,个位,0
17180,0,百位,4074,十位,0,个位,1
17181,0,百位,4075,十位,1,个位,2
17182,0,百位,4076,十位,2,个位,3
17183,0,百位,4077,十位,3,个位,4
17184,0,百位,4078,十位,0,个位,5
17185,0,百位,4079,十位,1,个位,6
17186,0,百位,4080,十位,2,个位,0
17187,0,百位,4081,十位,3,个位,1
17188,0,百位,4082,十位,4,个位,2
17189,0,百位,4083,十位,0,个位,3
17190,0,百位,4084,十位,1,个位,0
17191,0,百位,4085,十位,2,个位,1
17192,0,百位,4086,十位,3,个位,2
17193,0,百位,4087,十位,4,个位,3
17194,0,百位,4088,十位,5,个位,0
17195,0,百位,4089,十位,6,个位,1
17196,0,百位,4090,十位,7,个位,2
17197,0,百位,4091,十位,8,个位,3
17198,0,百位,4092,十位,9,个位,4
17199,0,百位,4093,十位,10,个位,5
17200,0,百位,4094,十位,11,个位,0
17201,0,百位,4095,十位,12,个位,1
17202,0,百位,4096,十位,13,个位,2
17203,0,百位,4097,十位,14,个位,3
17204,0,百位,4098,十位,15,个位,4
17205,0,百位,4099,十位,16,个位,5
17206,0,百位,4100,十位,17,个位,6
17207,0,百位,4101,十位,18,个位,7
17208,0,百位,4102,十位,19,个位,8
17209,0,百位,4103,十位,0,个位,9
17210,0,百位,4104,十位,1,个位,10
17211,0,百位,4105,十位,2,个位,11
17213,0,百位,4106,十位,3,个位,12
17214,0,百位,4107,十位,4,个位,13
17215,0,百位,4108,十位,5,个位,14
17216,0,百位,4109,十位,6,个位,15
17217,0,百位,4110,十位,7,个位,16
17218,0,百位,4111,十位,8,个位,17
17219,0,百位,4112,十位,9,个位,18
17220,0,百位,4113,十位,10,个位,19
17221,0,百位,4114,十位,11,个位,20
17222,0,百位,4115,十位,12,个位,21
